"Subject","Sample_Num","Full_Sample_ID","t","X_accel","Y_accel","Z_accel","Label"
1,1,"Subj_1_Sample_1",1,1667,2072,2047,"Work"
1,1,"Subj_1_Sample_1",2,1611,1957,1906,"Work"
1,1,"Subj_1_Sample_1",3,1601,1939,1831,"Work"
1,1,"Subj_1_Sample_1",4,1643,1965,1879,"Work"
1,1,"Subj_1_Sample_1",5,1604,1959,1921,"Work"
1,1,"Subj_1_Sample_1",6,1640,1829,1940,"Work"
1,1,"Subj_1_Sample_1",7,1607,1910,1910,"Work"
1,1,"Subj_1_Sample_1",8,1546,2045,1910,"Work"
1,1,"Subj_1_Sample_1",9,1529,2049,1972,"Work"
1,1,"Subj_1_Sample_1",10,1637,1978,1945,"Work"
1,1,"Subj_1_Sample_1",11,1596,2046,1866,"Work"
1,1,"Subj_1_Sample_1",12,1590,2006,1978,"Work"
1,1,"Subj_1_Sample_1",13,1601,1966,1957,"Work"
1,1,"Subj_1_Sample_1",14,1542,2003,1959,"Work"
1,1,"Subj_1_Sample_1",15,1598,2027,1941,"Work"
1,1,"Subj_1_Sample_1",16,1511,2258,1983,"Work"
1,1,"Subj_1_Sample_1",17,1555,1980,2023,"Work"
1,1,"Subj_1_Sample_1",18,1508,2468,1934,"Work"
1,1,"Subj_1_Sample_1",19,1580,1697,2005,"Work"
1,1,"Subj_1_Sample_1",20,1627,2073,1992,"Work"
1,1,"Subj_1_Sample_1",21,1592,2130,2063,"Work"
1,1,"Subj_1_Sample_1",22,1634,2088,1991,"Work"
1,1,"Subj_1_Sample_1",23,1638,2102,1916,"Work"
1,1,"Subj_1_Sample_1",24,1593,2123,1948,"Work"
1,1,"Subj_1_Sample_1",25,1542,2133,2034,"Work"
1,1,"Subj_1_Sample_1",26,1601,2015,2042,"Work"
1,1,"Subj_1_Sample_1",27,1613,1938,1936,"Work"
1,1,"Subj_1_Sample_1",28,1644,1974,2000,"Work"
1,1,"Subj_1_Sample_1",29,1642,1933,2046,"Work"
1,1,"Subj_1_Sample_1",30,1605,1925,2011,"Work"
1,1,"Subj_1_Sample_1",31,1586,1998,2066,"Work"
1,1,"Subj_1_Sample_1",32,1577,2032,2108,"Work"
1,1,"Subj_1_Sample_1",33,1598,1980,2066,"Work"
1,1,"Subj_1_Sample_1",34,1561,1942,2092,"Work"
1,1,"Subj_1_Sample_1",35,1628,1935,2142,"Work"
1,1,"Subj_1_Sample_1",36,1694,1965,2052,"Work"
1,1,"Subj_1_Sample_1",37,1627,1922,2081,"Work"
1,1,"Subj_1_Sample_1",38,1598,1950,2117,"Work"
1,1,"Subj_1_Sample_1",39,1612,1952,2075,"Work"
1,1,"Subj_1_Sample_1",40,1630,1958,2024,"Work"
1,1,"Subj_1_Sample_1",41,1609,1973,2005,"Work"
1,1,"Subj_1_Sample_1",42,1600,1983,2014,"Work"
1,1,"Subj_1_Sample_1",43,1608,1969,2024,"Work"
1,1,"Subj_1_Sample_1",44,1612,1957,2019,"Work"
1,1,"Subj_1_Sample_1",45,1605,1943,2018,"Work"
1,1,"Subj_1_Sample_1",46,1640,1917,2037,"Work"
1,1,"Subj_1_Sample_1",47,1610,1949,2077,"Work"
1,1,"Subj_1_Sample_1",48,1633,1930,2076,"Work"
1,1,"Subj_1_Sample_1",49,1573,1868,2058,"Work"
1,1,"Subj_1_Sample_1",50,1568,1944,1959,"Work"
1,1,"Subj_1_Sample_1",51,1576,2217,2059,"Work"
1,1,"Subj_1_Sample_1",52,1599,2045,2154,"Work"
1,1,"Subj_1_Sample_1",53,1620,1981,2168,"Work"
1,1,"Subj_1_Sample_1",54,1654,2069,2090,"Work"
1,1,"Subj_1_Sample_1",55,1637,2019,2160,"Work"
1,1,"Subj_1_Sample_1",56,1603,1992,2108,"Work"
1,1,"Subj_1_Sample_1",57,1605,2008,2075,"Work"
1,1,"Subj_1_Sample_1",58,1620,2001,2037,"Work"
1,1,"Subj_1_Sample_1",59,1616,2016,2052,"Work"
1,1,"Subj_1_Sample_1",60,1611,2019,2149,"Work"
1,1,"Subj_1_Sample_1",61,1597,1999,2130,"Work"
1,1,"Subj_1_Sample_1",62,1587,1999,2051,"Work"
1,1,"Subj_1_Sample_1",63,1566,1953,1993,"Work"
1,1,"Subj_1_Sample_1",64,1497,1966,2005,"Work"
1,1,"Subj_1_Sample_1",65,1455,2072,2105,"Work"
1,1,"Subj_1_Sample_1",66,1499,2090,2172,"Work"
1,1,"Subj_1_Sample_1",67,1556,2029,2085,"Work"
1,1,"Subj_1_Sample_1",68,1567,1963,2087,"Work"
1,1,"Subj_1_Sample_1",69,1568,1999,2134,"Work"
1,1,"Subj_1_Sample_1",70,1533,2049,2034,"Work"
1,1,"Subj_1_Sample_1",71,1519,2005,2062,"Work"
1,1,"Subj_1_Sample_1",72,1586,2089,2034,"Work"
1,1,"Subj_1_Sample_1",73,1618,2045,2002,"Work"
1,1,"Subj_1_Sample_1",74,1630,1974,2067,"Work"
1,1,"Subj_1_Sample_1",75,1646,2030,2129,"Work"
1,1,"Subj_1_Sample_1",76,1638,2077,2075,"Work"
1,1,"Subj_1_Sample_1",77,1595,2105,2094,"Work"
1,1,"Subj_1_Sample_1",78,1625,2117,2124,"Work"
1,1,"Subj_1_Sample_1",79,1645,2049,2086,"Work"
1,1,"Subj_1_Sample_1",80,1673,2067,2192,"Work"
1,1,"Subj_1_Sample_1",81,1607,2099,2073,"Work"
1,1,"Subj_1_Sample_1",82,1609,2099,2060,"Work"
1,1,"Subj_1_Sample_1",83,1613,2173,2108,"Work"
1,1,"Subj_1_Sample_1",84,1670,2147,2079,"Work"
1,1,"Subj_1_Sample_1",85,1663,2014,2171,"Work"
1,1,"Subj_1_Sample_1",86,1635,2120,2209,"Work"
1,1,"Subj_1_Sample_1",87,1649,2123,2034,"Work"
1,1,"Subj_1_Sample_1",88,1726,2203,2005,"Work"
1,1,"Subj_1_Sample_1",89,1778,2143,1946,"Work"
1,1,"Subj_1_Sample_1",90,1718,2102,2012,"Work"
1,1,"Subj_1_Sample_1",91,1724,2101,2309,"Work"
1,1,"Subj_1_Sample_1",92,1630,2359,1947,"Work"
1,1,"Subj_1_Sample_1",93,1664,2241,2064,"Work"
1,1,"Subj_1_Sample_1",94,1706,2277,1986,"Work"
1,1,"Subj_1_Sample_1",95,1691,2206,1994,"Work"
1,1,"Subj_1_Sample_1",96,1682,2172,2019,"Work"
1,1,"Subj_1_Sample_1",97,1690,2203,1986,"Work"
1,1,"Subj_1_Sample_1",98,1735,2343,2002,"Work"
1,1,"Subj_1_Sample_1",99,1665,2225,1897,"Work"
1,1,"Subj_1_Sample_1",100,1643,2243,1976,"Work"
